Query,R@50,P@50,AP@50,mAP@50,R@100,P@100,AP@100,mAP@100
R1,31.06%,100.00%,100.00%,100.00%,62.11%,100.00%,100.00%,100.00%
R2,50.51%,100.00%,100.00%,100.00%,89.90%,89.00%,99.28%,99.64%
R3,36.23%,100.00%,100.00%,100.00%,72.46%,100.00%,100.00%,99.76%
R4,50.51%,100.00%,100.00%,100.00%,97.98%,97.00%,100.00%,99.82%
R5,50.51%,100.00%,100.00%,100.00%,95.96%,95.00%,99.94%,99.84%
R6,50.51%,100.00%,100.00%,100.00%,100.00%,99.00%,99.99%,99.87%
R7,50.51%,100.00%,100.00%,100.00%,96.97%,96.00%,99.88%,99.87%
R8,49.49%,98.00%,98.16%,99.77%,86.87%,86.00%,97.21%,99.54%
R9,44.44%,88.00%,88.33%,98.50%,83.84%,83.00%,86.46%,98.08%
R10,50.51%,100.00%,100.00%,98.65%,98.99%,98.00%,100.00%,98.28%
R11,34.01%,100.00%,100.00%,98.77%,68.03%,100.00%,100.00%,98.43%
R12,50.51%,100.00%,100.00%,98.87%,89.90%,89.00%,99.72%,98.54%
R13,35.97%,100.00%,100.00%,98.96%,71.94%,100.00%,100.00%,98.65%
R14,47.17%,100.00%,100.00%,99.03%,91.51%,97.00%,99.91%,98.74%
R15,50.51%,100.00%,100.00%,99.10%,98.99%,98.00%,99.99%,98.82%
MEAN,45.50%,99.07%,99.10%,99.10%,87.03%,95.13%,98.83%,98.82%
