Query,R@50,P@50,AP@50,mAP@50,R@100,P@100,AP@100,mAP@100
R1,30.43%,98.00%,99.60%,99.60%,56.52%,91.00%,96.62%,96.62%
R2,42.42%,84.00%,91.84%,95.72%,61.62%,61.00%,84.47%,90.54%
R3,36.23%,100.00%,100.00%,97.15%,72.46%,100.00%,100.00%,93.69%
R4,50.51%,100.00%,100.00%,97.86%,76.77%,76.00%,99.47%,95.14%
R5,46.46%,92.00%,99.32%,98.15%,59.60%,59.00%,93.78%,94.87%
R6,46.46%,92.00%,97.02%,97.96%,62.63%,62.00%,92.11%,94.41%
R7,38.38%,76.00%,95.80%,97.65%,70.71%,70.00%,86.65%,93.30%
R8,27.27%,54.00%,68.40%,94.00%,44.44%,44.00%,60.74%,89.23%
R9,14.14%,28.00%,21.61%,85.95%,34.34%,34.00%,28.03%,82.43%
R10,50.51%,100.00%,100.00%,87.36%,66.67%,66.00%,98.94%,84.08%
R11,34.01%,100.00%,100.00%,88.51%,66.67%,98.00%,99.73%,85.50%
R12,37.37%,74.00%,83.48%,88.09%,63.64%,63.00%,77.42%,84.83%
R13,10.07%,28.00%,45.61%,84.82%,25.90%,36.00%,37.88%,81.22%
R14,33.96%,72.00%,93.24%,85.42%,54.72%,58.00%,82.27%,81.29%
R15,33.33%,66.00%,86.44%,85.49%,55.56%,55.00%,75.56%,80.91%
MEAN,35.44%,77.60%,85.49%,85.49%,58.15%,64.87%,80.91%,80.91%
