Query,R@50,P@50,AP@50,mAP@50,R@100,P@100,AP@100,mAP@100
R1,27.95%,90.00%,99.03%,99.03%,59.01%,95.00%,95.92%,95.92%
R2,50.51%,100.00%,100.00%,99.51%,73.74%,73.00%,99.78%,97.85%
R3,36.23%,100.00%,100.00%,99.68%,72.46%,100.00%,100.00%,98.57%
R4,50.51%,100.00%,100.00%,99.76%,78.79%,78.00%,99.68%,98.84%
R5,50.51%,100.00%,100.00%,99.81%,75.76%,75.00%,99.89%,99.05%
R6,50.51%,100.00%,100.00%,99.84%,84.85%,84.00%,100.00%,99.21%
R7,50.51%,100.00%,100.00%,99.86%,96.97%,96.00%,100.00%,99.32%
R8,49.49%,98.00%,99.22%,99.78%,72.73%,72.00%,98.73%,99.25%
R9,0.00%,0.00%,0.00%,88.69%,3.03%,3.00%,2.01%,88.45%
R10,50.51%,100.00%,100.00%,89.83%,100.00%,99.00%,100.00%,89.60%
R11,34.01%,100.00%,100.00%,90.75%,68.03%,100.00%,100.00%,90.55%
R12,47.47%,94.00%,95.68%,91.16%,89.90%,89.00%,95.49%,90.96%
R13,35.97%,100.00%,100.00%,91.84%,71.94%,100.00%,100.00%,91.65%
R14,47.17%,100.00%,100.00%,92.42%,94.34%,100.00%,100.00%,92.25%
R15,49.49%,98.00%,98.16%,92.81%,77.78%,77.00%,98.22%,92.65%
MEAN,42.06%,92.00%,92.81%,92.81%,74.62%,82.73%,92.65%,92.65%
