backbone,mode,embedding_size,desc_size_MB,index_time_s,search_time_per_query_s,mAP@50,mAP@100,mP@50,mP@100,mR@50,mR@100,mR-Prec,checkpoint
ConvNeXtBase,classifier,128,4.87548828125,56.3368353843689,0.013531208038330078,0.9379575817014716,0.934343791134772,0.932,0.9193333333333332,0.4253185186659713,0.8378424245373297,0.9229725928595403,../models/ConvNeXtBase_classifier_dim128.pth
ConvNeXtBase,classifier,256,9.7509765625,56.32157063484192,0.013519748051961263,0.9355389600694642,0.9343873587930739,0.932,0.9206666666666667,0.4253185186659713,0.839189225884131,0.9228178361830445,../models/ConvNeXtBase_classifier_dim256.pth
ConvNeXtBase,classifier,512,19.501953125,57.077942848205566,0.013705269495646159,0.9354278068879248,0.9338956385875966,0.9333333333333333,0.906,0.425991919339372,0.8244188809251068,0.9044980800613396,../models/ConvNeXtBase_classifier_dim512.pth
ConvNeXtBase,classifier,1024,39.00390625,58.976078748703,0.013797760009765625,0.9346026161560916,0.9313015812750485,0.932,0.876,0.4253185186659713,0.7953786840424162,0.8564028038579231,../models/ConvNeXtBase_classifier_dim1024.pth
ConvNeXtBase,classifier,2048,78.0078125,58.88042116165161,0.21317178408304852,0.9396186439335881,0.9295705903143571,0.9293333333333335,0.8106666666666666,0.42397171731916994,0.7295682297988199,0.7892839290065633,../models/ConvNeXtBase_classifier_dim2048.pth
ConvNeXtBase,metric,128,4.87548828125,66.07896494865417,0.013847843805948893,0.9293897625440752,0.9269453910746723,0.872,0.6606666666666666,0.3989353068848924,0.5956723744919721,0.6483486717859913,../models/ConvNeXtBase_metric_dim128.pth
ConvNeXtBase,metric,256,9.7509765625,84.87274074554443,0.016424179077148438,0.9309453194117983,0.9274214168298569,0.9013333333333333,0.7353333333333334,0.4132014891576373,0.6687086933141396,0.7074138769976429,../models/ConvNeXtBase_metric_dim256.pth
ConvNeXtBase,metric,512,19.501953125,79.97892260551453,0.01565392812093099,0.932607809254513,0.9297511567133097,0.9066666666666667,0.712,0.41589509185124013,0.6447521010122235,0.672642318011081,../models/ConvNeXtBase_metric_dim512.pth
ConvNeXtBase,metric,1024,39.00390625,55.312612533569336,0.013355032602945963,0.9330406165062689,0.931723716418804,0.892,0.7213333333333334,0.4084876844438327,0.6545672791727255,0.6944585323652795,../models/ConvNeXtBase_metric_dim1024.pth
ConvNeXtBase,metric,2048,78.0078125,55.53572082519531,0.12591266632080078,0.9333333333333333,0.9323357935622159,0.916,0.768,0.42060889656504485,0.7041277061182009,0.7274262352646148,../models/ConvNeXtBase_metric_dim2048.pth
DINOv2_ViTB14,classifier,128,4.87548828125,22.307175397872925,0.009696737925211588,0.24642909835005414,0.1838198917456384,0.052000000000000005,0.03866666666666667,0.0250144558328528,0.03637406479221624,0.0405537201805941,../models/DINOv2_ViTB14_classifier_dim128.pth
DINOv2_ViTB14,classifier,256,9.7509765625,23.6176974773407,0.009193229675292968,0.24786257164581574,0.19650666675901657,0.05333333333333334,0.043333333333333335,0.024258095029463404,0.03889659315247826,0.04405024492092304,../models/DINOv2_ViTB14_classifier_dim256.pth
DINOv2_ViTB14,classifier,512,19.501953125,22.214518308639526,0.00954737663269043,0.29186981829640063,0.18486630875067628,0.06266666666666668,0.054000000000000006,0.026922928663947666,0.04645138480228149,0.05266539345607744,../models/DINOv2_ViTB14_classifier_dim512.pth
DINOv2_ViTB14,classifier,1024,39.00390625,22.27058982849121,0.012682358423868816,0.1762115012396,0.11773092657076739,0.05200000000000001,0.037333333333333336,0.02324755555429191,0.03314418071042164,0.03497448221899295,../models/DINOv2_ViTB14_classifier_dim1024.pth
DINOv2_ViTB14,classifier,2048,78.0078125,21.935336589813232,0.010032717386881511,0.18471311256774747,0.14846304182741027,0.03733333333333333,0.029999999999999995,0.017270980034841368,0.02733967483028893,0.029659451661884873,../models/DINOv2_ViTB14_classifier_dim2048.pth
DINOv2_ViTB14,metric,128,4.87548828125,22.3239529132843,0.009357039133707681,0.9255731731868634,0.9199867929011608,0.8893333333333333,0.7773333333333333,0.40714088309703134,0.7107453670054896,0.7697245994849796,../models/DINOv2_ViTB14_metric_dim128.pth
DINOv2_ViTB14,metric,256,9.7509765625,22.671706438064575,0.009432760874430339,0.9325134893987934,0.9286214946758892,0.928,0.8126666666666668,0.4243356046395789,0.7347661127653656,0.808234623387559,../models/DINOv2_ViTB14_metric_dim256.pth
DINOv2_ViTB14,metric,512,19.501953125,22.622769355773926,0.009482606252034505,0.1428123184223071,0.13523020315985318,0.024,0.017333333333333333,0.011140090643196236,0.015662436534345594,0.01653002994852286,../models/DINOv2_ViTB14_metric_dim512.pth
DINOv2_ViTB14,metric,1024,39.00390625,21.499055862426758,0.010042921702067057,0.9326789082298633,0.9300078451539261,0.9306666666666668,0.8606666666666667,0.4246451179925706,0.7785831652780705,0.862135403129192,../models/DINOv2_ViTB14_metric_dim1024.pth
DINOv2_ViTB14,metric,2048,78.0078125,21.236043214797974,0.009442631403605144,0.8842386639798264,0.845475813643072,0.8093333333333332,0.7126666666666667,0.36738889625726767,0.6421343533841184,0.6979765446111508,../models/DINOv2_ViTB14_metric_dim2048.pth
