Query,R@50,R@100,P@50,P@100,AP@50,AP@100,mAP@50,mAP@100
R1,0.3105590062111801,0.6149068322981367,1.0,0.99,1.0,0.9995897538375335,0.9396186439335881,0.9295705903143571
R2,0.5050505050505051,0.6868686868686869,1.0,0.68,1.0,0.9867232450811341,0.9396186439335881,0.9295705903143571
R3,0.36231884057971014,0.6811594202898551,1.0,0.94,1.0,0.9957029232208119,0.9396186439335881,0.9295705903143571
R4,0.5050505050505051,0.8181818181818182,1.0,0.81,1.0,0.9925712969191274,0.9396186439335881,0.9295705903143571
R5,0.5050505050505051,0.8181818181818182,1.0,0.81,1.0,0.9883312032359792,0.9396186439335881,0.9295705903143571
R6,0.5050505050505051,0.9797979797979798,1.0,0.97,1.0,0.9993685333937457,0.9396186439335881,0.9295705903143571
R7,0.494949494949495,0.9494949494949495,0.98,0.94,0.9581794828912361,0.9699894744794055,0.9396186439335881,0.9295705903143571
R8,0.47474747474747475,0.7575757575757576,0.94,0.75,0.9859036114980776,0.9540921909881774,0.9396186439335881,0.9295705903143571
R9,0.020202020202020204,0.0707070707070707,0.04,0.07,0.1527777777777778,0.08585462096071557,0.9396186439335881,0.9295705903143571
R10,0.5050505050505051,0.6565656565656566,1.0,0.65,1.0,0.98740411184869,0.9396186439335881,0.9295705903143571
R11,0.3401360544217687,0.6802721088435374,1.0,1.0,1.0,1.0,0.9396186439335881,0.9295705903143571
R12,0.5050505050505051,0.8383838383838383,1.0,0.83,1.0,0.9930578455621484,0.9396186439335881,0.9295705903143571
R13,0.3597122302158273,0.7194244604316546,1.0,1.0,1.0,1.0,0.9396186439335881,0.9295705903143571
R14,0.4716981132075472,0.9245283018867925,1.0,0.98,1.0,0.999896928468357,0.9396186439335881,0.9295705903143571
R15,0.494949494949495,0.7474747474747475,0.98,0.74,0.997418786836728,0.9909767267195301,0.9396186439335881,0.9295705903143571
